voxel_idx,n_eff,k_opp,k_conc,p_opp,p_conc,bold_median,dcmr_median,bold_mean,dcmr_mean
8697,37,16,21,0.4324324324324324,0.5675675675675675,-0.17744173,7.467711,-0.17110363,5.4182553
8707,36,17,19,0.4722222222222222,0.5277777777777778,1.0398592,3.6578016,1.8393259,14.994585
8712,37,18,19,0.4864864864864865,0.5135135135135135,-0.32560807,3.2047799,-0.378113,4.3250656
8717,37,22,15,0.5945945945945946,0.4054054054054054,-0.2867751,11.130156,-0.30895358,10.48172
8718,37,18,19,0.4864864864864865,0.5135135135135135,-0.21025345,8.64326,-0.21680549,12.299284
8730,37,19,18,0.5135135135135135,0.4864864864864865,-0.2699291,9.435091,-0.2646458,9.864544
8731,37,21,16,0.5675675675675675,0.4324324324324324,-0.31074613,10.159586,-0.23595525,10.049951
8732,37,20,17,0.5405405405405406,0.4594594594594595,-0.20015028,7.444277,-0.20327626,5.9588766
8736,37,17,20,0.4594594594594595,0.5405405405405406,0.27846763,1.7853361,0.26603356,0.8367708
8737,37,15,22,0.4054054054054054,0.5945945945945946,0.20707175,-0.07073502,0.35174775,0.34348446
8738,37,17,20,0.4594594594594595,0.5405405405405406,0.09977764,1.3866533,0.30291206,-0.30590177
8742,37,22,15,0.5945945945945946,0.4054054054054054,-0.33952856,6.3672304,-0.2553768,9.368048
8746,37,17,20,0.4594594594594595,0.5405405405405406,0.32193226,2.3408294,0.3930612,2.5058587
8754,37,16,21,0.4324324324324324,0.5675675675675675,-0.2121681,3.4441543,-0.19265202,4.5251217
8779,37,18,19,0.4864864864864865,0.5135135135135135,-0.16768187,7.60947,-0.15233694,9.390321
8788,37,24,13,0.6486486486486487,0.3513513513513513,-0.22150734,6.9663405,-0.20760243,7.05981
8789,37,24,13,0.6486486486486487,0.3513513513513513,-0.23492841,6.497244,-0.28203282,11.87393
8806,37,25,12,0.6756756756756757,0.3243243243243243,-0.24253811,12.531009,-0.26223093,13.353529
8807,37,17,20,0.4594594594594595,0.5405405405405406,0.54897857,1.5382057,0.5130278,3.1428685
8808,37,15,22,0.4054054054054054,0.5945945945945946,0.4169608,-0.027118031,0.45886928,1.8513348
8809,37,16,21,0.4324324324324324,0.5675675675675675,0.37437463,0.264567,0.42358163,0.53910255
8810,37,20,17,0.5405405405405406,0.4594594594594595,0.17706877,0.0012938863,0.31908178,-0.023614546
8811,37,17,20,0.4594594594594595,0.5405405405405406,0.1859704,3.079567,0.27454892,4.3028135
8820,37,22,15,0.5945945945945946,0.4054054054054054,-0.09518968,7.5234637,-0.17683284,8.503355
8821,37,25,12,0.6756756756756757,0.3243243243243243,-0.10864475,11.168055,-0.20422176,12.288697
8822,37,16,21,0.4324324324324324,0.5675675675675675,0.6720326,3.5635297,0.7030606,4.7838697
8823,37,13,24,0.3513513513513513,0.6486486486486487,0.9286616,1.7426677,0.7399592,2.8796747
8824,37,17,20,0.4594594594594595,0.5405405405405406,0.83262837,-0.17487668,0.67654514,0.99378633
8825,37,14,23,0.3783783783783784,0.6216216216216216,0.57773125,-0.5096384,0.6448769,-0.38189298
8826,37,15,22,0.4054054054054054,0.5945945945945946,0.34973705,0.39627668,0.6297519,-1.176813
8827,37,20,17,0.5405405405405406,0.4594594594594595,0.18341866,0.87976223,0.39890146,-0.8701163
8838,37,22,15,0.5945945945945946,0.4054054054054054,0.1781359,3.186061,0.1702725,3.3031363
8842,37,16,21,0.4324324324324324,0.5675675675675675,0.4108741,7.767966,0.47545305,8.636948
8843,37,13,24,0.3513513513513513,0.6486486486486487,0.35868967,7.1818633,0.42307976,9.422749
8844,37,13,24,0.3513513513513513,0.6486486486486487,0.29413617,10.430718,0.22482318,9.888546
8845,37,21,16,0.5675675675675675,0.4324324324324324,0.6462455,5.269788,0.7241028,3.7219536
8846,37,17,20,0.4594594594594595,0.5405405405405406,0.5503998,0.35594139,0.74314594,-1.7507757
8847,37,14,23,0.3783783783783784,0.6216216216216216,0.22966772,1.6275091,0.59066874,-1.35333
8850,36,19,17,0.5277777777777778,0.4722222222222222,0.22530949,-0.5079342,0.350236,1.3373786
8859,37,19,18,0.5135135135135135,0.4864864864864865,0.16472647,3.1533217,0.19538301,4.1188188
8860,37,20,17,0.5405405405405406,0.4594594594594595,0.10824245,2.66286,0.15543595,5.090728
8863,37,15,22,0.4054054054054054,0.5945945945945946,0.34621602,3.7363937,0.49157354,5.708059
8864,37,10,27,0.2702702702702703,0.7297297297297297,0.49781,6.4248857,0.5168299,7.3828754
8865,37,19,18,0.5135135135135135,0.4864864864864865,0.6424601,3.4035518,0.79095227,2.3691323
8866,37,19,18,0.5135135135135135,0.4864864864864865,0.73689914,-1.0713582,0.85826695,0.18545617
8867,37,16,21,0.4324324324324324,0.5675675675675675,0.31726068,-2.1993845,0.4593334,-1.7864146
8884,37,21,16,0.5675675675675675,0.4324324324324324,0.08670771,5.488249,0.17529243,7.357331
8886,37,16,21,0.4324324324324324,0.5675675675675675,0.2778042,5.196802,0.2884257,5.4999223
8887,37,15,22,0.4054054054054054,0.5945945945945946,0.33591133,2.946952,0.4082632,5.220964
8888,37,18,19,0.4864864864864865,0.5135135135135135,0.5314399,4.3148413,0.55606323,5.8140683
8889,37,14,23,0.3783783783783784,0.6216216216216216,0.56640995,5.824841,0.67181355,6.312029
8890,37,19,18,0.5135135135135135,0.4864864864864865,0.46019685,2.7240417,0.56700295,4.7917094
8891,37,23,14,0.6216216216216216,0.3783783783783784,0.5318013,2.2083414,0.6772087,3.3785646
8892,37,20,17,0.5405405405405406,0.4594594594594595,0.8824474,1.999443,0.9927847,1.5905272
8893,37,20,17,0.5405405405405406,0.4594594594594595,0.7526228,-0.16744243,0.83193094,-0.21348098
8894,37,20,17,0.5405405405405406,0.4594594594594595,0.5621121,-1.5757943,0.5570232,-1.4025602
8895,37,17,20,0.4594594594594595,0.5405405405405406,0.46296102,-2.9383783,0.48464075,-2.0158124
